Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Status
jakarli-nevresim-seti-200x220-lacivert,"Jakarlı Nevresim Seti 200x220 cm – Lacivert | Yataş","<p><strong>Yataş</strong>'ın özel koleksiyonundan bu <strong>jakarlı nevresim seti</strong>, şık geometrik desen ve lacivert renk kombinasyonuyla yatak odanıza sofistike bir hava katar.</p><ul><li><strong>Materyal:</strong> %60 Pamuk / %40 Polyester Jakarlı Dokuma</li><li><strong>Ölçü:</strong> 200x220 cm nevresim + 2 x 50x70 cm yastık kılıfı</li><li><strong>Renk:</strong> Lacivert</li><li><strong>İçerik:</strong> 4 Parça Set</li><li><strong>Yıkama:</strong> 40°C'de ters çevirerek yıkayın</li></ul><p>Jakarlı dokuma tekniğiyle oluşturulan desenler solmaya karşı dayanıklıdır. Modern ve klasik yatak odası stillerine uyum sağlar. (Stock defaulted to 0 — missing from supplier data)</p>",Yataş,Ev Tekstili > Yatak Odası,Nevresim Takımı,"nevresim, jakarlı, lacivert, Yataş, çift kişilik",TRUE,Renk,Lacivert,TXT012,0,680.00,active
banyo-seti-3lu-turkuaz,"Banyo Seti 3'lü – Turkuaz","<p>Banyonuzu koordineli bir görünüme kavuşturun. Bu <strong>3'lü banyo paspas seti</strong>, turkuaz renk paleti ve uyumlu boyutlarıyla bütünlük hissi yaratır.</p><ul><li><strong>Materyal:</strong> %100 Pamuk</li><li><strong>İçerik:</strong> 50x80 cm banyo paspası + 40x60 cm tuvalet paspası + 60x100 cm çıkış paspası</li><li><strong>Renk:</strong> Turkuaz</li><li><strong>Özellik:</strong> Kaymaz kauçuk taban, yüksek su emicilik</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Özellikle yeni ev sahipleri ve banyo yenileme projelerinde tercih edilen bu set, tek seferde komple bir banyo dönüşümü sunar.</p>",Genel,Ev Tekstili > Banyo,Banyo Seti,"banyo seti, 3'lü set, turkuaz, paspas, pamuk",TRUE,Set,3'lü Set,TXT013,18,250.00,active
pamuk-yastik-kilifi-50x70-ekru,"Pamuk Yastık Kılıfı 50x70 cm – Ekru | HomeText","<p><strong>HomeText</strong>'in sade çizgili koleksiyonundan bu <strong>ekru renkli yastık kılıfı</strong>, doğal pamuk dokusu ve ılımlı tonu ile yatak odanıza organik bir sıcaklık katar.</p><ul><li><strong>Materyal:</strong> %100 Pamuk</li><li><strong>Ölçü:</strong> 50x70 cm</li><li><strong>Renk:</strong> Ekru</li><li><strong>Özellik:</strong> Fermuar kapatma, shrink-proof, solmaz boyama</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Doğal ve organik yaşam tarzını benimseyenler için ekru tonu mükemmel bir seçimdir. Beyaz, bej ve toprak tonlu nevresimlerle kolayca kombinlenebilir.</p>",HomeText,Ev Tekstili > Yatak Odası,Yastık Kılıfı,"yastık kılıfı, ekru, pamuk, HomeText, 50x70",TRUE,Renk,Ekru,TXT014,200,65.00,active
salon-perdesi-cift-kanatli-kahverengi,"Salon Perdesi Çift Kanatlı 2x140x260 cm – Kahverengi | Özdilek","<p><strong>Özdilek</strong>'in geniş koleksiyonundan bu <strong>kahverengi salon perdesi</strong>, doğal ahşap ve toprak tonlu dekorasyonlarla mükemmel uyum sağlar.</p><ul><li><strong>Materyal:</strong> Polyester Karışım</li><li><strong>Ölçü:</strong> 2 x 140x260 cm (Çift Kanat Toplam: 280 cm genişlik)</li><li><strong>Renk:</strong> Kahverengi</li><li><strong>Özellik:</strong> Yarı ışık geçiren yapı, pli pilili dikiş</li><li><strong>Montaj:</strong> Pens, halka veya rayba ile kullanılabilir</li></ul><p>Doğadan ilham alan dekor stilleriyle uyumlu bu perde, oturma odası ve ofis gibi mekanlarda şık bir atmosfer oluşturur.</p>",Özdilek,Ev Tekstili > Perde,Fon Perde,"perde, salon perdesi, kahverengi, Özdilek, çift kanatlı",TRUE,Renk,Kahverengi,TXT015,12,490.00,active
polar-battaniye-cift-kisilik-siyah,"Polar Battaniye Çift Kişilik 200x220 cm – Siyah | Yataş","<p><strong>Yataş</strong>'ın polar serisinden bu <strong>çift kişilik polar battaniye</strong>, ultra yumuşak dokusu ve hafif yapısıyla her mevsim kullanıma uygun bir ısı kaynağıdır.</p><ul><li><strong>Materyal:</strong> %100 Polyester Polar</li><li><strong>Ölçü:</strong> 200x220 cm</li><li><strong>Renk:</strong> Siyah</li><li><strong>Özellik:</strong> Ultra yumuşak mikro polar, hafif ve sıcak, hızlı kuruma</li><li><strong>Yıkama:</strong> 30°C'de hassas yıkama programı</li></ul><p>Koltuk başı, divan battaniyesi veya yatak üstü örtüsü olarak çok amaçlı kullanım sunar. Siyah rengi her dekor tonuyla uyum sağlar.</p>",Yataş,Ev Tekstili > Battaniye,Battaniye,"battaniye, polar, siyah, Yataş, çift kişilik, yumuşak",TRUE,Renk,Siyah,TXT017,30,380.00,active
pvc-mutfak-masa-ortusu-120x160-sari,"PVC Mutfak Masa Örtüsü Silinebilir 120x160 cm – Sarı","<p>Pratik ve şık bir mutfak çözümü. Bu <strong>silinebilir PVC masa örtüsü</strong>, su ve leke geçirmez yapısıyla yemek hazırlama ve yemek yeme anlarında masanızı korur.</p><ul><li><strong>Materyal:</strong> PVC (Polivinil Klorür)</li><li><strong>Ölçü:</strong> 120x160 cm</li><li><strong>Renk:</strong> Sarı</li><li><strong>Özellik:</strong> Su geçirmez, ısıya dayanıklı, nem tutmaz, silinebilir yüzey</li><li><strong>Kullanım:</strong> Mutfak, balkon, piknik masası</li></ul><p>Çocuklu aileler ve yoğun mutfak kullanımı için tasarlanan bu örtü, ıslak bezle kolaylıkla silinerek temizlenir. (Category normalized from MUTFAK)</p>",Genel,Ev Tekstili > Mutfak,Masa Örtüsü,"masa örtüsü, PVC, silinebilir, sarı, mutfak, su geçirmez",TRUE,Renk,Sarı,TXT018,150,55.00,active
tek-kisilik-nevresim-150x200-pembe,"Tek Kişilik Nevresim Takımı 150x200 cm – Pembe | Taç","<p><strong>Taç</strong>'ın pastel koleksiyonundan bu <strong>tek kişilik nevresim takımı</strong>, nazik pembe rengiyle çocuk ve genç odalarına taze ve neşeli bir atmosfer katar.</p><ul><li><strong>Materyal:</strong> %100 Pamuk</li><li><strong>Ölçü:</strong> 150x200 cm nevresim + 50x70 cm yastık kılıfı</li><li><strong>Renk:</strong> Pembe</li><li><strong>İçerik:</strong> 3 Parça Set</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Genç kız odaları, misafir odaları ve apart daire kullanımı için ideal olan bu takım, pembe tonuyla romantik ve dingin bir uyku ortamı oluşturur. (Color normalized from PEMBE)</p>",Taç,Ev Tekstili > Yatak Odası,Nevresim Takımı,"nevresim, tek kişilik, pembe, Taç, pamuk",TRUE,Renk,Pembe,TXT019,55,320.00,active
banyo-paspasi-mercan-60x100-cm,"Banyo Paspası Kaymaz 60x100 cm – Mercan | HomePlus","<p><strong>HomePlus</strong>'ın özel koleksiyonundan bu <strong>büyük boy mercan renkli banyo paspası</strong>, sıcak ve davetkar rengiyle banyonuza Mediterranean esintisi katar.</p><ul><li><strong>Materyal:</strong> %100 Pamuk</li><li><strong>Ölçü:</strong> 60x100 cm</li><li><strong>Renk:</strong> Mercan</li><li><strong>Özellik:</strong> Kaymaz kauçuk taban, yüksek su emicilik, havlu kesim yüzey</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Geniş format sayesinde duş kabini ve küvet önleri için mükemmel kaplama alanı sunar. Mercan tonu, beyaz fayans ve ahşap detaylı banyo dekorları ile kusursuz uyum sağlar.</p>",HomePlus,Ev Tekstili > Banyo,Banyo Paspası,"banyo paspası, mercan, HomePlus, kaymaz, pamuk, 60x100",TRUE,Renk,Mercan,TXT020,40,110.00,active
ipek-gorunumlu-yatak-ortusu-200x220-gold,"İpek Görünümlü Saten Yatak Örtüsü 200x220 cm – Gold | LuxHome","<p><strong>LuxHome</strong>'un premium serisinden bu <strong>saten yatak örtüsü</strong>, ipek görünümü ve soft dokusuyla yatak odanızı lüks bir suite'e dönüştürür.</p><ul><li><strong>Materyal:</strong> Polyester Satin (İpek Görünümlü)</li><li><strong>Ölçü:</strong> 200x220 cm</li><li><strong>Renk:</strong> Gold (Altın Sarısı)</li><li><strong>Özellik:</strong> Parlak saten yüzey, ipek hissi, şık döküm</li><li><strong>Bakım:</strong> 30°C hassas yıkama, düşük ısıda kurutma</li></ul><p>Butik oteller, lüks apart daireler ve özel yatak odası projeleri için tasarlanan bu örtü, gold tonuyla asil ve zarif bir görünüm sunar.</p>",LuxHome,Ev Tekstili > Yatak Odası,Yatak Örtüsü,"yatak örtüsü, saten, gold, lüks, LuxHome, ipek görünümlü",TRUE,Renk,Gold,TXT021,8,750.00,active
masa-ortusu-kare-140x140-krem,"Masa Örtüsü Kare 140x140 cm – Krem | HomeText","<p><strong>HomeText</strong>'in klasik koleksiyonundan bu <strong>kare masa örtüsü</strong>, krem tonu ve ince desen detaylarıyla 4 kişilik yemek masaları için zarif bir örtüm çözümü sunar.</p><ul><li><strong>Materyal:</strong> %100 Polyester</li><li><strong>Ölçü:</strong> 140x140 cm (Kare)</li><li><strong>Renk:</strong> Krem</li><li><strong>Özellik:</strong> Leke tutmaz yüzey, ütü gerektirmez, solmaz boyama</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Kahvaltı sofraları, öğle yemekleri ve özel davetler için kullanıma uygundur. Krem tonu, tüm masa dekorasyonlarıyla nötr ve uyumlu bir taban oluşturur.</p>",HomeText,Ev Tekstili > Mutfak,Masa Örtüsü,"masa örtüsü, kare, krem, HomeText, polyester",TRUE,Renk,Krem,TXT023,20,140.00,active
banyo-havlusu-seti-4lu-beyaz-gri,"Banyo Havlusu Seti 4'lü 70x140 cm – Beyaz/Gri | Mürdüm","<p><strong>Mürdüm</strong>'ün premium havlu serisinden bu <strong>4'lü banyo havlusu seti</strong>, 500 gr/m² ağırlığıyla otel kalitesinde emicilik ve yumuşaklık sunar.</p><ul><li><strong>Materyal:</strong> %100 Combed Cotton (Taramalı Pamuk)</li><li><strong>İçerik:</strong> 4 adet 70x140 cm havlu</li><li><strong>Renk:</strong> Beyaz / Gri (2 Beyaz + 2 Gri)</li><li><strong>Gramaj:</strong> 500 gr/m²</li><li><strong>Özellik:</strong> Antibakteriyel işlem, yüksek emicilik, solmaz boyama</li></ul><p>Aileler, oteller ve kiralık mülkler için ekonomik ve kaliteli bir çözüm sunan bu set, her kullanımda taze ve temiz bir his bırakır.</p>",Mürdüm,Ev Tekstili > Banyo,Havlu Seti,"havlu, havlu seti, 4'lü, beyaz, gri, Mürdüm, 500gr, banyo",TRUE,Renk,Beyaz/Gri,TXT024,15,420.00,active
